,Price (NPR),Year,Fuel,Kilometer Run,Color,Mileage (Km/L),Engine (CC),Transmission,Brand,Age
194,1900000,2013,Petrol,45000,silver,18,1200,Auto 2WD,Maruti Suzuki,12
195,3950000,2019,Petrol,20000,white,14,1600,Manual 2WD,Hyundai,6
196,1850000,2014,Petrol,40000,green,12,1000,Auto 2WD,Maruti Suzuki,11
197,3400000,2018,Diesel,40000,blue,18,1500,Auto 2WD,Tata,7
198,1100000,2007,Petrol,60000,silver,14,1000,Manual 4WD,Hyundai,18
199,2850000,2017,Petrol,50000,brown,14,1200,Manual 2WD,Hyundai,8
200,1175000,2010,Diesel,70000,green,14,2169,Manual 4WD,Tata,15
201,3150000,2016,Diesel,50000,blue,12,2200,Manual 2WD,Mahindra,9
202,2299000,2015,Diesel,50000,grey,15,1499,Manual 2WD,Ford,10
203,1500000,2015,Petrol,49000,others,14,1100,Manual 2WD,Maruti Suzuki,10
204,6200000,2021,Petrol,17000,grey,14,1200,Auto 2WD,Volkswagen,4
205,6200000,2010,Diesel,98000,white,14,2967,Auto 4WD,Volkswagen,15
206,5500000,2019,Petrol,30000,white,14,1591,Manual 2WD,Hyundai,6
207,2400000,2016,Petrol,36000,orange,12,1596,Manual 2WD,Renault,9
208,1050000,2010,Petrol,65000,others,10,1596,Manual 2WD,Other Brands,15
209,650000,2003,Petrol,49000,others,15,1000,Power Steering,Hyundai,22
210,1375000,2010,Diesel,47000,silver,14,1400,Manual 2WD,Hyundai,15
211,1185000,2009,Petrol,45000,silver,15,1300,Manual 2WD,Maruti Suzuki,16
212,630000,2017,Diesel,5900,blue,15,702,Auto 2WD,Tata,8
213,1475000,2017,Petrol,38300,white,14,1196,Manual 2WD,Maruti Suzuki,8
214,4050000,2021,Petrol,17000,silver,20,1500,Manual 2WD,Maruti Suzuki,4
215,5700000,2016,Diesel,36200,grey,14,2500,Manual 4WD,Kia,9
216,1475000,2017,Petrol,38300,white,14,1196,Manual 2WD,Maruti Suzuki,8
217,3300000,2016,Petrol,56000,silver,14,2000,Power Steering,Mahindra,9
218,6500000,2020,Electric,20000,blue,550,1200,Auto 2WD,Hyundai,5
219,1350000,2009,Petrol,64000,silver,13,1298,Manual 2WD,Maruti Suzuki,16
220,2350000,2009,Diesel,73000,blue,12,2000,Manual 4WD,Hyundai,16
221,1700000,2013,Petrol,62000,white,14,1200,Manual 2WD,Hyundai,12
222,1400000,2015,Diesel,130000,silver,14,2200,Manual 4WD,Tata,10
223,4800000,2022,Diesel,49000,white,14,1200,Manual 2WD,Hyundai,3
224,7600000,2017,Petrol,65000,white,15,2700,Auto 4WD,Toyota,8
225,3100000,2017,Diesel,56000,grey,18,1248,Manual 2WD,Maruti Suzuki,8
226,975000,2008,Diesel,56000,silver,14,1948,Manual 2WD,Tata,17
227,1350000,2009,Petrol,49000,black,14,1197,Manual 2WD,Hyundai,16
228,3700000,2021,Diesel,3700,yellow,14,4898,Power Steering,Eicher,4
229,699000,2007,Petrol,49000,silver,14,800,Auto 2WD,Maruti Suzuki,18
