Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
fz v2,"रू. 2,65,000",Manual,Standard,Petrol,2022,45,022,,80000,150
Hero I Smart 53 Lot Super Fresh Condition Onsell,"रू. 67,000",Manual,Sport,Petrol,2014,,,,,
Yamaha Lebro Tax cler pass hunxa vintag 9803656430,"रू. 38,000",Automatic,Standard,Petrol,2005,48+,,,,
Cbr 600 sale 2007 model,"रू. 18,75,000",Manual,Sport,Petrol,2007,,,,,
Discover 64 Lot Super Fresh Condition Onsell,"रू. 67,000",Manual,Sport,Petrol,2014,,,,,
Yamaha Saluto 2017model seal engine,"रू. 1,05,000",Manual,Standard,Petrol,2017,45,87,Black and Red,,125
Ktm Duke 200,"रू. 3,80,000",Automatic,Standard,Petrol,2022,,39,orange,"13, 650",200
Ktm Duke 200 154 Lot Sale Or Exchange,"रू. 4,98,000",Manual,Standard,Petrol,2024,40,154,Orange,11000,200
Pulsar 220f Abs 131 lot like new condtn 9803656430,"रू. 2,40,000",Automatic,Standard,Petrol,2021 last,35++,131,Red black,28000,220
TVS Ntorq 125,"रू. 1,50,000",Manual,Scooty,Petrol,2019,,,mat read,,125
Powerful Ns 200cc 78 lot Super fresh 9803656430,"रू. 1,20,000",Automatic,Sport,Petrol,2016 last,35+,,,,
dominar 400cc 023lot,"रू. 3,10,000",Manual,Standard,Petrol,2021,,,,,
Super Splendour 56 Lot Super Fresh Condition Onsel,"रू. 67,000",Manual,Sport,Petrol,2013,,,,,
146 lot rayzr urgent sell,"रू. 2,29,000",Automatic,Scooty,Petrol,2023,55,146,,15000,125
Single Hand Used Vespa,"रू. 1,48,000",Manual,Scooty,Petrol,2021,35,119,Sky blue,30000,125
Cbr 250cc sell an exchange fi abs,"रू. 2,19,000",Manual,Sport,Petrol,2013,34,58,White,0,250
XPULSE - 026 lot v2,"रू. 2,20,000",Manual,Others,Petrol,2021,,,,,
Cf Moto Nk 250cc Abs 97 Lot,"रू. 1,77,000",Manual,Standard,Petrol,2018,,,,,
ns 125cc 045lot,"रू. 1,70,000",Automatic,Standard,Petrol,2024,,,,,
Honda CB shine (023)lot,"रू. 1,80,000",Manual,Standard,Petrol,2021,50,023,Black and Red,,125
R15v3 2020 Last Model 9865466320,"रू. 2,75,000",Manual,Sport,Petrol,2020,,,Blue,190000,155
Like new condition 220 Pulsar abs 131 lot,"रू. 2,38,000",Automatic,Standard,Petrol,2021 last,40+,,,25k,220
Ntorq 125 fi (037) lastai sasto price ma,"रू. 2,10,000",Manual,Scooty,Petrol,2022,40,037,Red and Black race edition,24300,125
pulsar 220,"रू. 2,20,000",Manual,Standard,Petrol,2021,40,128,black and red,30000,220
