Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
Dominer 400 023 Lot,"रू. 3,10,000",Manual,Sport,Petrol,2021,,,,,
Scooty for Sale,"रू. 1,45,000",Automatic,Scooty,Petrol,2019,30,129,,,110
Yamaha Fz250,"रू. 2,40,000",Manual,Standard,Petrol,2021,35,132,Blue,36800,250
TVs Stryker 98 lot on sale,"रू. 88,000",Automatic,Standard,Petrol,2018,49,98,red black,28000,125
Rtr 160 4v,"रू. 1,40,000",Automatic,Standard,Petrol,2018,40,014,red,40000,160
NQi Electric Scooter,"रू. 2,80,000",Automatic,Scooty,Electric,2023,,,White,4000,
Benelli 135cc 96 Lot Sale Or Exchange,"रू. 1,09,000",Manual,Standard,Petrol,2018,45,96,Red,45,135
Gixxer 88lot,"रू. 1,10,000",Manual,Standard,Petrol,2017,,,,,
Vespa vxl 106 lot,"रू. 1,15,000",Manual,Scooty,Petrol,2019,35,106,,,125
Honda Shine 26 Lot,"रू. 58,000",Manual,Standard,Petrol,2012,,,,,
Honda Dio 52 Fresh ✅Mint Condition,"रू. 73,500",Automatic,Scooty,Petrol,2012,40,52,Grey,30000,110
Urgent Sell Tvs( RTR) 1604v,"रू. 2,05,000",Manual,Standard,Petrol,2022,45,014,Red,10000,160
urgent sell,रू. 125,Manual,Dirt,Petrol,2019,40,107,read,22000,125
Yamaha 150 Fzs v3 Bs6 Fi Abs Single Hand 2024 mode,"रू. 3,35,000",Automatic,Standard,Petrol,2024,47,051,Graee,11000,150
vespa 003 lot,"रू. 1,15,000",Manual,Scooty,Petrol,2018,,,,,
grazia 008 lot,"रू. 1,50,000",Manual,Scooty,Petrol,2019,,,,,
Urgent sale price 160k,रू. 160,Manual,Sport,Petrol,2020,40,018,Blue,50k,
Honda shine 39 lot sale,"रू. 63,000",Automatic,Standard,Petrol,2008,40,39,Black,42000,125
Hornet bike ba 75 pa on sale,"रू. 95,000",Manual,Standard,Petrol,2016,45,ba 75 pa,orange,64000,160
Tvs raider 125 049 lot 8500 k.m clocked,"रू. 2,55,000",Manual,Standard,Petrol,2025,50,049,Black,8500,125
Crossfire Hj 250cc 135 lot 9803656430,"रू. 4,10,000",Automatic,Dirt,Petrol,2022 last,,,,,250
pulsar 150 035lot,"रू. 1,95,000",Automatic,Standard,Petrol,2021,,,,,
Aprilla Sr125 Like New 131 Lot,"रू. 1,55,000",Automatic,Scooty,Petrol,2021,45,131,,,125
Honda Avator 97 Lot Sale Or Exchange,"रू. 1,39,000",Manual,Scooty,Petrol,2018,45,97,White,23000,110
classic reborn on sell,रू. 0,Manual,Cruiser,Petrol,2025,,,balck,2000,350
Rxz135 Yamaha,"रू. 3,50,000",Manual,Sport,Petrol,1998,,,Black,50000,135
Vespa SXL 150 for sale. Km run at 19000 only.,"रू. 2,35,000",Automatic,Scooty,Petrol,2018,,12,Maroon,16000-19000,150
dio 120 lot urgent sell,"रू. 1,65,000",Manual,Scooty,Petrol,2020,40,120,,15000,110
Royal Enfield Electra 350,"रू. 4,75,000",Manual,Cruiser,Petrol,2006,30,22,Black,2000,350
Royal enfield classic 350 Direct seller,"रू. 4,75,000",Manual,Standard,Petrol,2019,,111,black,38000,350
Vespa Vxl 150 Fully Fresh Condition Lot-88,"रू. 1,20,000",Manual,Scooty,Petrol,2017,,,,25000,150
Aprilla Sr 125cc 119 Lot Super Fresh Condition Sel,"रू. 1,37,000",Manual,Scooty,Petrol,2020,,,,,
Avaitor 2019 model,"रू. 1,40,000",Automatic,Scooty,Petrol,2019,35,009,red,41000,
sasto ma bike aayo matra 23hajar ma bike,"रू. 19,999",Manual,Standard,Petrol,2023,80,129,,18000,100
"pulsar ns 200 fi,abs exchange with scooter","रू. 2,40,000",Manual,Sport,Petrol,2020,35,021,red& black,24000,200
single hand honda dio 110cc on sale,"रू. 1,40,000",Manual,Scooty,Petrol,2018,35,95,red and black,25410,110
ntorq 029lot,"रू. 1,55,000",Automatic,Standard,Petrol,2021,,,,,
Ns 200 140 lot fi abs,"रू. 2,69,999",Manual,Standard,Petrol,2022,40,139,,22000,200
Royal Enfield Hunter 350 | REBEL BLACK,"रू. 4,40,000",Manual,Standard,Petrol,2024,Around 35–40 km/l,148,Dapper black,6000,350 cc
"65 lot ,,yamaha szr ,, urgent sale","रू. 69,000",Manual,Sport,Petrol,2014,45,65,,,150
Honda Shine CB 250 FOR SALE ONLY!! 142 LOT,"रू. 2,00,000",Manual,Standard,Petrol,2022,50,042,Black,15210,125
Yamaha Ray Zr scooter Top variant on sale,"रू. 2,85,000",Manual,Scooty,Hybrid,2025,55,155,Ice White,4700,125
TVS NTROQ 125 FI   031lot,"रू. 1,80,000",Manual,Scooty,Petrol,2021,40,031,Red and Black,20k,125
TVs Ntroq 056 Lot 2022 Model Single hand Price175k,"रू. 1,75,000",Manual,Scooty,Petrol,2022,40,056,Blue,18000,125
Ns 200 lot 152 2018 model super fresh condition,"रू. 1,45,000",Automatic,Sport,Petrol,2018,35,,,28000,200
Yamaha Fz v3 for Sale Kathamandu,"रू. 1,99,000",Manual,Standard,Petrol,2019,50,110,Black,45,155
Bike on sale urgent,"रू. 1,40,000",Automatic,Cruiser,Petrol,2015,,,,,
Pulsar 150 Like New 144lot,"रू. 2,25,000",Manual,Standard,Petrol,2023,45,144,,,150
Italjet Buccaneer 250 i,"रू. 2,99,999",Manual,Standard,Petrol,2017,30,98,Silver,24700,250
hj 250cc super fresh condition,"रू. 4,20,000",Automatic,Dirt,Petrol,2022,25,,,5000,250
Super Splendor Fully Fresh Lot-57 Condition Super,"रू. 67,000",Manual,Sport,Petrol,2014,,,,27000,
Bajaj Discover 135 Cc 30 Lot Sale Or Exchange,"रू. 45,000",Manual,Standard,Petrol,2008,45,30,Blue,52000,135
HONDA CB SHINE 2013 MODEL(FIXED PRICE WITH OFFER),"रू. 93,999",Manual,Standard,Petrol,2013,45,60,Silver,35000,125
"Jawa Perak Custom – Clean, Smooth & Ready to Ride","रू. 4,74,000",Manual,Cruiser,Petrol,2021,24-29,124,Matte black,20000,334
Tvs Appachi 160 4v Doube Disk 112 Lot Sale Or Ex,"रू. 1,44,000",Manual,Standard,Petrol,2019,45,112,Red,23000,160
Yamaha rayz 108 lot sale,"रू. 97,000",Automatic,Scooty,Petrol,2019,35,108,Red,28000,110
Itallica Formula 150cc Doube Disk 99 Lot Sale Or E,"रू. 1,29,000",Manual,Scooty,Petrol,2019,30,99,White,16000,150
