Name,Price,Transmission,Types,Fuel,Make Year,Mileage,URL
Ns200cc Fi abs 135 lot 2022 model 9823657076,"रू. 2,33,000",Manual,Standard,Petrol,2022,,https://hamrobazaar.com/product/ns200cc-fi-abs-135-lot-2022-model-9823657076-in-bhaktapur/b19980f1c98b5e8b3eaa96e4ff107b4e
Royala Enfiled Thunderbird 350X 114 Lot 2020 Modl,"रू. 3,89,000",Manual,Cruiser,Petrol,2020,30,https://hamrobazaar.com/product/royala-enfiled-thunderbird-350x-114-lot-2020-modl-in-kathmandu/cc97460acda01f0f4a6e8c8218da4781
Pulsar 150cc 83 Lot 2017 Model 9823657076,"रू. 1,27,000",Manual,Standard,Petrol,2017,,https://hamrobazaar.com/product/pulsar-150cc-83-lot-2017-model-9823657076-in-bhaktapur/875f83d6dfeba689dfce94529816fef6
Italijet 250cc,"रू. 3,00,000",Manual,Cruiser,Petrol,2017,,https://hamrobazaar.com/product/italijet-250cc-in-lalitpur/bbe36d90dd05d7721778f63d1aba7df9
028 Lot Fz V2 Double Dish Urgent Sale Or Exchange,"रू. 2,30,000",Manual,Standard,Petrol,2021,45,https://hamrobazaar.com/product/028-lot-fz-v2-double-dish-urgent-sale-or-exchange-in-lalitpur/26fb2091bb132920a482d524e53230ff
Honda Aviator 2015 model 67 lot sell,"रू. 82,000",Automatic,Scooty,Petrol,2015,35,https://hamrobazaar.com/product/honda-aviator-2015-model-67-lot-sell-in-kathmandu/c0534e82a73cdc4b272f97ee6704bb4b
Honda Dio 78Lot 2016 model 9745326273,"रू. 1,05,000",Automatic,Scooty,Petrol,2016,,https://hamrobazaar.com/product/honda-dio-78lot-2016-model-9745326273-in-bhaktapur/70aa19a05bde89500ccb7e833a9e90f8
TVs Apache 200cc 129 Lot 2021 Model 9823657076,"रू. 1,83,000",Manual,Standard,Petrol,2021,,https://hamrobazaar.com/product/tvs-apache-200cc-129-lot-2021-model-9823657076-in-bhaktapur/08084b19224ddc2b41c4e582d6e6b141
Odometer for Crf 250l and Rally,"रू. 48,500",Manual,Dirt,Petrol,2019,,https://hamrobazaar.com/product/odometer-for-crf-250l-and-rally-in-kathmandu/37ca0aed2b148f1853e5b1fda31e51f0
Benelli TNT 135(Benelli),"रु 160,000",Manual,Standard,Petrol,2018,40+,https://hamrobazaar.com/product/benelli-tnt-135-in-sunsari/1899bfb09cebc6c339d75d17e6efca18
Aprilla 125 strom (9841948008),"रू. 1,50,000",Automatic,Scooty,Petrol,2021,30,https://hamrobazaar.com/product/aprilla-125-strom-9841948008-in-lalitpur/30c1936c0737679e25411156669e8cf2
TVS RAIDER 125 2022 21K RUN SINGLE HAND,"रू. 1,80,000",Manual,Standard,Petrol,2022,,https://hamrobazaar.com/product/tvs-raider-125-2022-21k-run-single-hand-in-kathmandu/3546b8f75e3e8d7692f59fa902f8e5ec
Yamaha Lebro Tax cler pass hunxa vintag 9803656430,"रू. 38,000",Automatic,Standard,Petrol,2005,48+,https://hamrobazaar.com/product/yamaha-lebro-tax-cler-pass-hunxa-vintag-9803656430-in-bhaktapur/a65e904c86214ec8db1b3c69ef1d2eaa
Pulsar 150 2005 model(Bajaj),"रू. 44,000",Manual,Standard,Petrol,2005,Above 40,https://hamrobazaar.com/product/pulsar-150-2005-model-in-kathmandu/35fae691d442c184b0d0a3f4cde42fbc
Crossfire Gr7,"रू. 2,58,000",Manual,Dirt,Petrol,2019,22,https://hamrobazaar.com/product/crossfire-gr7-in-lalitpur/95288dbbea713e2b16ca34eeb0bfc888
crossfire tracker 250,"रू. 1,15,000",Automatic,Dirt,Petrol,2021,30,https://hamrobazaar.com/product/crossfire-tracker-250-in-kathmandu/9d5aaa3504e455b1025969f90e530576
Yamaha R15 V3 2018 Model 9823657076,"रू. 2,38,000",Manual,Standard,Petrol,2018,,https://hamrobazaar.com/product/yamaha-r15-v3-2018-model-9823657076-in-bhaktapur/b086ae4fc0a29c3cb37caea6ad596693
Cbz Xtriem 125cc 155 lot 2025 Model 9823657076,"रू. 2,43,000",Manual,Standard,Petrol,2025,,https://hamrobazaar.com/product/cbz-xtriem-125cc-155-lot-2025-model-9823657076-in-bhaktapur/48cad793221f46c71e21e57757c045fa
