iter	Passed	Remaining
794	58081	51506
795	58241	51510
796	58333	51453
797	58408	51382
798	58475	51302
799	58542	51224
800	58620	51155
801	58685	51075
802	58752	50996
803	58842	50937
804	58948	50893
805	59156	50936
806	59407	51015
807	59474	50936
808	59539	50855
809	59616	50784
810	59687	50708
811	59759	50633
812	59872	50593
813	59981	50549
814	60105	50518
815	60165	50432
816	60247	50365
817	60377	50338
818	60505	50310
819	60643	50289
820	60717	50215
821	60786	50137
822	60853	50057
823	60920	49978
824	60985	49897
825	61058	49822
826	61125	49742
827	61193	49664
828	61355	49661
829	61456	49609
830	61515	49522
831	61575	49438
832	61636	49353
833	61707	49277
834	61783	49204
835	61856	49130
836	61931	49056
837	62005	48982
838	62075	48905
839	62145	48828
840	62221	48756
841	62309	48693
842	62389	48623
843	62465	48551
844	62541	48478
845	62618	48407
846	62700	48339
847	62787	48275
848	62861	48200
849	62926	48120
850	62990	48038
851	63062	47963
852	63137	47889
853	63210	47815
854	63282	47739
855	63359	47667
856	63440	47598
857	63521	47530
858	63617	47472
859	63722	47421
860	63826	47369
861	63925	47314
862	64014	47250
863	64107	47190
864	64213	47139
865	64316	47085
866	64410	47026
867	64517	46975
868	64637	46935
869	64710	46858
870	64790	46789
871	64854	46707
872	64970	46662
873	65080	46613
874	65185	46560
875	65293	46510
876	65403	46461
877	65469	46380
878	65530	46296
879	65591	46212
880	65648	46125
881	65718	46047
882	65787	45969
883	65852	45887
884	65919	45808
885	65989	45730
886	66058	45652
887	66137	45581
888	66223	45514
889	66311	45449
890	66397	45382
891	66476	45311
892	66561	45244
893	66617	45156
894	66677	45072
895	66748	44995
896	66816	44916
897	66890	44841
898	66962	44765
899	67042	44695
900	67130	44629
901	67218	44564
902	67293	44489
903	67363	44412
904	67459	44352
905	67584	44310
906	67701	44263
907	67811	44211
908	68004	44213
909	68115	44162
910	68173	44076
911	68245	44000
912	68323	43927
913	68408	43859
914	68530	43814
915	68648	43767
916	68759	43715
917	68882	43670
918	68977	43608
919	69062	43539
920	69146	43469
921	69219	43393
922	69297	43320
923	69370	43243
924	69457	43176
925	69552	43113
926	69641	43046
927	69726	42978
928	69806	42905
929	69904	42844
930	70025	42797
931	70138	42745
932	70210	42667
933	70279	42588
934	70343	42507
935	70416	42430
936	70482	42349
937	70548	42268
938	70608	42184
939	70679	42107
940	70750	42029
941	70813	41947
942	70926	41893
943	71061	41854
944	71185	41807
945	71313	41762
946	71429	41711
947	71486	41625
948	71543	41539
949	71613	41460
950	71685	41383
951	71753	41303
952	71822	41224
953	71880	41139
954	71934	41051
955	71995	40967
956	72063	40888
957	72130	40808
958	72185	40721
959	72243	40636
960	72307	40555
961	72365	40470
962	72418	40383
963	72473	40296
964	72537	40215
965	72597	40131
966	72653	40045
967	72708	39959
968	72766	39874
969	72830	39794
970	72898	39715
971	72951	39627
972	73017	39547
973	73086	39469
974	73153	39390
975	73223	39312
976	73292	39234
977	73354	39152
978	73419	39072
979	73494	38997
980	73552	38912
981	73614	38831
982	73683	38753
983	73748	38673
984	73803	38587
985	73858	38502
986	73926	38423
987	73986	38341
988	74041	38256
989	74101	38173
990	74170	38095
991	74237	38016
992	74309	37940
993	74373	37860
994	74428	37775
995	74498	37698
996	74563	37618
997	74619	37533
998	74673	37449
999	74728	37364
1000	74785	37280
1001	74851	37201
1002	74921	37124
1003	74979	37041
1004	75045	36962
1005	75116	36886
1006	75178	36805
1007	75233	36721
1008	75292	36638
1009	75360	36560
1010	75416	36477
1011	75472	36394
1012	75530	36311
1013	75592	36230
1014	75655	36150
1015	75725	36073
1016	75795	35997
1017	75861	35918
1018	75919	35836
1019	75987	35758
1020	76052	35679
1021	76119	35601
1022	76187	35524
1023	76257	35447
