,Price,Transmission,Types,Fuel,Make Year,Lot No,Kilometer Run,Mileage (Km/L),Engine (CC),Color,Brand
144,125,Manual,Dirt,Petrol,2019,107,22000,40,125,Red,Other
145,335000,Automatic,Standard,Petrol,2024,51,11000,47,150,Other,Yamaha
146,115000,Manual,Scooty,Petrol,2018,86,23000,40,150,Other,Other
147,150000,Manual,Scooty,Petrol,2019,86,23000,40,150,Other,Other
148,160,Manual,Sport,Petrol,2020,18,50000,40,150,Blue,Other
149,63000,Automatic,Standard,Petrol,2008,39,42000,40,125,Black,Honda
150,95000,Manual,Standard,Petrol,2016,75,64000,45,160,Orange,Other
151,255000,Manual,Standard,Petrol,2025,49,8500,50,125,Black,TVS
152,410000,Automatic,Dirt,Petrol,2022,86,23000,40,250,Other,Other
153,195000,Automatic,Standard,Petrol,2021,86,23000,40,150,Other,Other
154,155000,Automatic,Scooty,Petrol,2021,131,23000,45,125,Other,Other
155,139000,Manual,Scooty,Petrol,2018,97,23000,45,110,White,Honda
156,0,Manual,Cruiser,Petrol,2025,86,2000,40,350,Black,Other
157,350000,Manual,Sport,Petrol,1998,86,50000,40,135,Black,Yamaha
158,235000,Automatic,Scooty,Petrol,2018,12,1600019000,40,150,Maroon,Other
159,165000,Manual,Scooty,Petrol,2020,120,15000,40,110,Other,Other
160,475000,Manual,Cruiser,Petrol,2006,22,2000,30,350,Black,Royal Enfield
161,475000,Manual,Standard,Petrol,2019,111,38000,40,350,Black,Royal Enfield
162,120000,Manual,Scooty,Petrol,2017,86,25000,40,150,Other,Other
163,137000,Manual,Scooty,Petrol,2020,86,23000,40,150,Other,Other
164,140000,Automatic,Scooty,Petrol,2019,9,41000,35,150,Red,Other
165,19999,Manual,Standard,Petrol,2023,129,18000,80,100,Other,Other
166,240000,Manual,Sport,Petrol,2020,21,24000,35,200,Red,Other
167,140000,Manual,Scooty,Petrol,2018,95,25410,35,110,Red,Honda
168,155000,Automatic,Standard,Petrol,2021,86,23000,40,150,Other,Other
169,269999,Manual,Standard,Petrol,2022,139,22000,40,200,Other,Other
170,440000,Manual,Standard,Petrol,2024,148,6000,37,350,Black,Royal Enfield
171,69000,Manual,Sport,Petrol,2014,65,23000,45,150,Other,Yamaha
172,200000,Manual,Standard,Petrol,2022,42,15210,50,125,Black,Honda
173,285000,Manual,Scooty,Hybrid,2025,155,4700,55,125,White,Yamaha
174,180000,Manual,Scooty,Petrol,2021,31,20000,40,125,Red,TVS
175,175000,Manual,Scooty,Petrol,2022,56,18000,40,125,Blue,TVS
176,145000,Automatic,Sport,Petrol,2018,86,28000,35,200,Other,Other
177,199000,Manual,Standard,Petrol,2019,110,45,50,155,Black,Yamaha
178,140000,Automatic,Cruiser,Petrol,2015,86,23000,40,150,Other,Other
179,225000,Manual,Standard,Petrol,2023,144,23000,45,150,Other,Other
180,299999,Manual,Standard,Petrol,2017,98,24700,30,250,Silver,Italjet
181,420000,Automatic,Dirt,Petrol,2022,86,5000,25,250,Other,Other
182,67000,Manual,Sport,Petrol,2014,86,27000,40,150,Other,Other
183,45000,Manual,Standard,Petrol,2008,30,52000,45,135,Blue,Bajaj
184,93999,Manual,Standard,Petrol,2013,60,35000,45,125,Silver,Honda
185,474000,Manual,Cruiser,Petrol,2021,124,20000,26,334,Black,Jawa
186,144000,Manual,Standard,Petrol,2019,112,23000,45,160,Red,TVS
187,97000,Automatic,Scooty,Petrol,2019,108,28000,35,110,Red,Yamaha
188,129000,Manual,Scooty,Petrol,2019,99,16000,30,150,White,Itallica
189,200000,Manual,Scooty,Petrol,2021,30,15000,40,150,Black,Other
190,255000,Manual,Dirt,Petrol,2019,86,23000,40,250,Other,Other
191,62000,Automatic,Standard,Petrol,2014,86,23000,40,150,Other,Other
192,250000,Manual,Sport,Petrol,2017,86,13000,40,249,Blue,FZ
193,148000,Manual,Scooty,Petrol,2020,86,24000,30,125,Red,Other
194,100000,Manual,Scooty,Petrol,2016,73,23000,40,125,Black,Honda
195,65000,Manual,Cruiser,Petrol,2009,37,23000,40,200,Other,Other
196,250000,Manual,Scooty,Petrol,2024,86,6000,40,125,Other,Other
197,136000,Manual,Standard,Petrol,2016,81,34000,40,220,Other,Bajaj
198,280000,Manual,Sport,Petrol,2021,102,27000,40,150,Blue,Yamaha
199,123000,Automatic,Sport,Petrol,2017,86,23000,35,150,Other,Other
200,280000,Manual,Sport,Petrol,2020,207750,41000,40,250,Silver,Other
201,378000,Manual,Dirt,Petrol,2016,81,27000,22,411,White,Royal Enfield
202,90000,Automatic,Scooty,Petrol,2016,76,32086,37,125,Red,Other
203,139000,Manual,Standard,Petrol,2018,93,27000,40,200,Other,Bajaj
204,390000,Manual,Dirt,Diesel,2024,151,8500,40,200,Blue,Other
205,55000,Automatic,Sport,Petrol,2010,86,25000,50,125,Other,Honda
206,45000,Manual,Standard,Petrol,2009,33,23000,40,150,Other,Hero
207,599000,Automatic,Dirt,Petrol,2022,86,23000,40,190,Other,Honda
208,250000,Automatic,Standard,Petrol,2024,86,23000,40,150,Other,Other
209,165000,Manual,Sport,Petrol,2018,101,47000,35,200,Black,Other
210,75000,Manual,Standard,Petrol,2012,36,33000,40,200,Blue,Bajaj
211,650000,Manual,Others,Petrol,2024,86,8000,40,400,Red,Other
212,359000,Manual,Standard,Petrol,2021,124,13000,25,250,Other,Other
213,168000,Manual,Standard,Petrol,2018,86,23000,40,150,Other,FZ
214,125000,Automatic,Standard,Petrol,2016,86,23000,40,150,Other,Other
215,235000,Manual,Cruiser,Petrol,2021,86,23000,40,150,Other,Other
216,290000,Automatic,Scooty,Petrol,2025,58,2400,55,125,Blue,Honda
217,150000,Manual,Scooty,Petrol,2021,86,23000,40,150,Other,Other
218,48000,Automatic,Standard,Petrol,2006,24,48000,40,125,Black,Honda
219,310000,Manual,Sport,Petrol,2021,86,24000,40,400,Other,Other
220,48000,Automatic,Sport,Petrol,2012,86,23000,55,125,Other,Suzuki
221,235000,Automatic,Standard,Petrol,2021,137,16500,45,150,Black,Yamaha
222,125000,Automatic,Sport,Petrol,2016,86,23000,35,200,Other,Other
223,132000,Manual,Standard,Petrol,2019,112,23000,40,150,Other,Other
224,200000,Automatic,Scooty,Petrol,2019,44,6000,50,110,Red,Other
225,220000,Manual,Sport,Petrol,2025,86,4600,50,125,Blue,Hero
226,115000,Manual,Scooty,Petrol,2018,86,23000,40,150,Other,Other
227,200000,Manual,Scooty,Petrol,2020,29,32000,30,125,Red,Other
228,3999999,Manual,Scooty,Petrol,2007,22,66000,62,102,Green,Other
229,152000,Automatic,Standard,Petrol,2019,144,28000,40,160,Blue,TVS
230,145000,Manual,Standard,Petrol,2018,86,23000,40,220,Other,Bajaj
231,365000,Manual,Standard,Petrol,2020,86,42000,30,250,Black,KTM
232,160000,Automatic,Scooty,Petrol,2022,36,23000,40,125,Other,Aprilia
233,310000,Automatic,Standard,Petrol,2021,86,23000,40,400,Other,Dominar
234,400000,Manual,Standard,Petrol,2018,86,23000,40,150,Other,Other
235,105000,Automatic,Sport,Petrol,2016,86,30000,45,150,Other,Other
236,250000,Automatic,Standard,Petrol,2024,86,23000,40,150,Other,Other
237,270000,Manual,Sport,Petrol,2020,86,23000,40,150,Other,Other
238,215000,Manual,Sport,Petrol,2015,68,39100,30,200,Other,KTM
